,Price
2007-09-04,12.38
2007-09-05,12.289
2007-09-06,12.467
2007-09-07,12.694
2007-09-08,12.664000000000001
2007-09-09,12.664000000000001
2007-09-10,12.634
2007-09-11,12.769
2007-09-12,12.727
2007-09-13,12.614
2007-09-14,12.638
2007-09-15,12.7355
2007-09-16,12.7355
2007-09-17,12.833
2007-09-18,12.858
2007-09-19,13.039
2007-09-20,13.404
2007-09-21,13.554
2007-09-22,13.564
2007-09-23,13.564
2007-09-24,13.574
2007-09-25,13.554
2007-09-26,13.479
2007-09-27,13.645
2007-09-28,13.92
2007-09-29,13.8875
2007-09-30,13.8875
2007-10-01,13.855
2007-10-02,13.45
2007-10-03,13.47
2007-10-04,13.5
2007-10-05,13.49
2007-10-06,13.425
2007-10-07,13.425
2007-10-08,13.36
2007-10-09,13.583
2007-10-10,13.668
2007-10-11,13.985
2007-10-12,13.903
2007-10-13,13.879000000000001
2007-10-14,13.879000000000001
2007-10-15,13.855
2007-10-16,13.658
2007-10-17,13.75
2007-10-18,13.803
2007-10-19,13.635
2007-10-20,13.594999999999999
2007-10-21,13.594999999999999
2007-10-22,13.555
2007-10-23,13.65
2007-10-24,13.59
2007-10-25,13.905
2007-10-26,14.28
2007-10-27,14.355
2007-10-28,14.355
2007-10-29,14.43
2007-10-30,14.384
2007-10-31,14.494
2007-11-01,14.381
2007-11-02,14.658
2007-11-03,14.753
2007-11-04,14.753
2007-11-05,14.848
2007-11-06,15.445
2007-11-07,15.391
2007-11-08,15.581
2007-11-09,15.611
2007-11-10,15.218
2007-11-11,15.218
2007-11-12,14.825
2007-11-13,14.673
2007-11-14,15.128
2007-11-15,14.543
2007-11-16,14.571
2007-11-17,14.3955
2007-11-18,14.3955
2007-11-19,14.22
2007-11-20,14.562
2007-11-21,14.481
2007-11-22,14.53
2007-11-23,14.796
2007-11-24,14.8455
2007-11-25,14.8455
2007-11-26,14.895
2007-11-27,14.547
2007-11-28,14.397
2007-11-29,14.445
2007-11-30,14.097
2007-12-01,14.119499999999999
2007-12-02,14.119499999999999
2007-12-03,14.142
2007-12-04,14.397
2007-12-05,14.392
2007-12-06,14.557
2007-12-07,14.437
2007-12-08,14.6095
2007-12-09,14.6095
2007-12-10,14.782
2007-12-11,14.797
2007-12-12,14.757
2007-12-13,14.169
2007-12-14,13.915
2007-12-15,13.913499999999999
2007-12-16,13.913499999999999
2007-12-17,13.912
2007-12-18,14.097
2007-12-19,14.154
2007-12-20,14.276
2007-12-21,14.424
2007-12-22,14.51
2007-12-23,14.51
2007-12-24,14.596
2007-12-25,14.6835
2007-12-26,14.771
2007-12-27,14.754
2007-12-28,14.895
2007-12-29,14.907499999999999
2007-12-30,14.907499999999999
2007-12-31,14.92
2008-01-01,15.105
2008-01-02,15.29
2008-01-03,15.5
2008-01-04,15.462
2008-01-05,15.376
2008-01-06,15.376
2008-01-07,15.29
2008-01-08,15.815
2008-01-09,15.84
2008-01-10,16.275
2008-01-11,16.37
2008-01-12,16.3975
2008-01-13,16.3975
2008-01-14,16.425
2008-01-15,16.3
2008-01-16,15.895
2008-01-17,16.01
2008-01-18,16.215
2008-01-19,16.16
2008-01-20,16.16
2008-01-21,16.16
2008-01-22,16.105
2008-01-23,15.97
2008-01-24,16.333
2008-01-25,16.49
2008-01-26,16.619999999999997
2008-01-27,16.619999999999997
2008-01-28,16.75
2008-01-29,16.8
2008-01-30,16.76
2008-01-31,17.041
2008-02-01,16.916
2008-02-02,16.8715
2008-02-03,16.8715
2008-02-04,16.827
2008-02-05,16.392
2008-02-06,16.597
2008-02-07,16.823
2008-02-08,17.159
2008-02-09,17.3405
2008-02-10,17.3405
2008-02-11,17.522
2008-02-12,17.301
2008-02-13,17.404
2008-02-14,17.306
2008-02-15,17.169
2008-02-16,17.3645
2008-02-17,17.3645
2008-02-18,17.3645
2008-02-19,17.56
2008-02-20,17.813
2008-02-21,18.004
2008-02-22,18.09
2008-02-23,18.116500000000002
2008-02-24,18.116500000000002
2008-02-25,18.143
2008-02-26,18.78
2008-02-27,19.271
2008-02-28,19.71
2008-02-29,19.915
2008-03-01,20.0475
2008-03-02,20.0475
2008-03-03,20.18
2008-03-04,19.84
2008-03-05,20.785
2008-03-06,20.225
2008-03-07,20.25
2008-03-08,20.0175
2008-03-09,20.0175
2008-03-10,19.785
2008-03-11,19.763
2008-03-12,19.995
2008-03-13,20.42
2008-03-14,20.655
2008-03-15,20.4775
2008-03-16,20.4775
2008-03-17,20.3
2008-03-18,19.96
2008-03-19,18.445
2008-03-20,16.85
2008-03-21,16.98
2008-03-22,16.98
2008-03-23,16.98
2008-03-24,17.11
2008-03-25,17.8
2008-03-26,18.383
2008-03-27,18.55
2008-03-28,17.94
2008-03-29,17.6475
2008-03-30,17.6475
2008-03-31,17.355
2008-04-01,16.935
2008-04-02,17.227
2008-04-03,17.529
2008-04-04,17.805
2008-04-05,17.988
2008-04-06,17.988
2008-04-07,18.171
2008-04-08,17.758
2008-04-09,18.251
2008-04-10,18.094
2008-04-11,17.742
2008-04-12,17.7915
2008-04-13,17.7915
2008-04-14,17.841
2008-04-15,17.902
2008-04-16,18.38
2008-04-17,18.362
2008-04-18,17.878
2008-04-19,17.6475
2008-04-20,17.6475
2008-04-21,17.417
2008-04-22,17.767
2008-04-23,17.221
2008-04-24,16.714
2008-04-25,16.904
2008-04-26,16.986
2008-04-27,16.986
2008-04-28,17.068
2008-04-29,16.64
2008-04-30,16.593
2008-05-01,16.205
2008-05-02,16.465
2008-05-03,16.6475
2008-05-04,16.6475
2008-05-05,16.83
2008-05-06,16.86
2008-05-07,16.695
2008-05-08,16.87
2008-05-09,16.91
2008-05-10,17.067500000000003
2008-05-11,17.067500000000003
2008-05-12,17.225
2008-05-13,16.828
2008-05-14,16.613
2008-05-15,16.685
2008-05-16,16.96
2008-05-17,16.994
2008-05-18,16.994
2008-05-19,17.028
2008-05-20,17.725
2008-05-21,18.05
2008-05-22,18.025
2008-05-23,18.29
2008-05-24,18.3275
2008-05-25,18.3275
2008-05-26,18.365
2008-05-27,17.465
2008-05-28,17.415
2008-05-29,16.515
2008-05-30,16.913
2008-05-31,16.935499999999998
2008-06-01,16.935499999999998
2008-06-02,16.958
2008-06-03,16.883
2008-06-04,16.988
2008-06-05,17.22
2008-06-06,17.482
2008-06-07,17.371499999999997
2008-06-08,17.371499999999997
2008-06-09,17.261
2008-06-10,16.686
2008-06-11,16.906
2008-06-12,16.536
2008-06-13,16.611
2008-06-14,16.948
2008-06-15,16.948
2008-06-16,17.285
2008-06-17,17.128
2008-06-18,17.393
