,Price
2011-08-06,175.25
2011-08-07,175.25
2011-08-08,175.2
2011-08-09,174.8
2011-08-10,176.1
2011-08-11,175.6
2011-08-12,175.8
2011-08-13,176.0
2011-08-14,176.0
2011-08-15,176.2
2011-08-16,176.7
2011-08-17,176.9
2011-08-18,177.0
2011-08-19,177.0
2011-08-20,177.0
2011-08-21,177.0
2011-08-22,177.0
2011-08-23,177.1
2011-08-24,177.2
2011-08-25,177.2
2011-08-26,177.3
2011-08-27,177.3
2011-08-28,177.3
2011-08-29,177.3
2011-08-30,177.3
2011-08-31,177.4
2011-09-01,178.5
2011-09-02,179.1
2011-09-03,178.85
2011-09-04,178.85
2011-09-05,178.85
2011-09-06,178.6
2011-09-07,179.4
2011-09-08,179.5
2011-09-09,178.1
2011-09-10,178.14999999999998
2011-09-11,178.14999999999998
2011-09-12,178.2
2011-09-13,179.0
2011-09-14,178.8
2011-09-15,178.9
2011-09-16,178.8
2011-09-17,178.65
2011-09-18,178.65
2011-09-19,178.5
2011-09-20,178.7
2011-09-21,178.5
2011-09-22,178.5
2011-09-23,178.3
2011-09-24,178.2
2011-09-25,178.2
2011-09-26,178.1
2011-09-27,177.9
2011-09-28,177.8
2011-09-29,177.5
2011-09-30,168.05
2011-10-01,168.05
2011-10-02,168.05
2011-10-03,158.6
2011-10-04,163.3
2011-10-05,164.5
2011-10-06,165.5
2011-10-07,167.1
2011-10-08,166.5
2011-10-09,166.5
2011-10-10,165.9
2011-10-11,164.3
2011-10-12,163.2
2011-10-13,162.4
2011-10-14,162.6
2011-10-15,161.89999999999998
2011-10-16,161.89999999999998
2011-10-17,161.2
2011-10-18,159.7
2011-10-19,159.2
2011-10-20,158.6
2011-10-21,158.0
2011-10-22,157.75
2011-10-23,157.75
2011-10-24,157.5
2011-10-25,156.1
2011-10-26,154.8
2011-10-27,153.2
2011-10-28,152.0
2011-10-29,151.2
2011-10-30,151.2
2011-10-31,150.4
2011-11-01,125.6
2011-11-02,127.9
2011-11-03,127.7
2011-11-04,129.4
2011-11-05,129.3
2011-11-06,129.3
2011-11-07,129.2
2011-11-08,130.5
2011-11-09,133.2
2011-11-10,131.3
2011-11-11,131.3
2011-11-12,131.4
2011-11-13,131.4
2011-11-14,131.5
2011-11-15,133.4
2011-11-16,134.1
2011-11-17,134.8
2011-11-18,135.2
2011-11-19,135.25
2011-11-20,135.25
2011-11-21,135.3
2011-11-22,135.7
2011-11-23,135.8
2011-11-24,136.05
2011-11-25,136.3
2011-11-26,136.15
2011-11-27,136.15
2011-11-28,136.0
2011-11-29,135.8
2011-11-30,135.5
2011-12-01,135.5
2011-12-02,135.6
2011-12-03,135.7
2011-12-04,135.7
2011-12-05,135.8
2011-12-06,136.0
2011-12-07,136.2
2011-12-08,136.4
2011-12-09,136.5
2011-12-10,136.55
2011-12-11,136.55
2011-12-12,136.6
2011-12-13,136.7
2011-12-14,136.7
2011-12-15,136.6
2011-12-16,136.5
2011-12-17,136.4
2011-12-18,136.4
2011-12-19,136.3
2011-12-20,136.1
2011-12-21,136.1
2011-12-22,136.1
2011-12-23,136.1
2011-12-24,136.1
2011-12-25,136.1
2011-12-26,136.1
2011-12-27,136.1
2011-12-28,136.2
2011-12-29,136.3
2011-12-30,136.0
2011-12-31,136.0
2012-01-01,136.0
2012-01-02,136.0
2012-01-03,135.7
2012-01-04,135.9
2012-01-05,136.1
2012-01-06,136.3
2012-01-07,136.4
2012-01-08,136.4
2012-01-09,136.5
2012-01-10,136.8
2012-01-11,136.9
2012-01-12,137.4
2012-01-13,137.8
2012-01-14,138.0
2012-01-15,138.0
2012-01-16,138.0
2012-01-17,138.2
2012-01-18,138.4
2012-01-19,138.6
2012-01-20,138.8
2012-01-21,138.9
2012-01-22,138.9
2012-01-23,139.0
2012-01-24,139.2
2012-01-25,139.4
2012-01-26,139.6
2012-01-27,139.8
2012-01-28,139.9
2012-01-29,139.9
2012-01-30,140.0
2012-01-31,140.4
2012-02-01,144.7
2012-02-02,144.6
2012-02-03,143.4
2012-02-04,144.0
2012-02-05,144.0
2012-02-06,144.6
2012-02-07,143.6
2012-02-08,142.8
2012-02-09,142.8
2012-02-10,142.8
2012-02-11,142.5
2012-02-12,142.5
2012-02-13,142.2
2012-02-14,141.0
2012-02-15,140.7
2012-02-16,140.1
2012-02-17,139.9
2012-02-18,139.9
2012-02-19,139.9
2012-02-20,139.9
2012-02-21,139.9
2012-02-22,139.8
2012-02-23,140.0
2012-02-24,139.9
2012-02-25,139.95
2012-02-26,139.95
2012-02-27,140.0
2012-02-28,140.1
2012-02-29,140.4
2012-03-01,139.3
2012-03-02,139.5
2012-03-03,138.7
2012-03-04,138.7
2012-03-05,137.9
2012-03-06,138.2
2012-03-07,138.8
2012-03-08,139.8
2012-03-09,140.0
2012-03-10,141.25
2012-03-11,141.25
2012-03-12,142.5
2012-03-13,143.5
2012-03-14,143.1
2012-03-15,143.6
2012-03-16,143.6
2012-03-17,143.64999999999998
2012-03-18,143.64999999999998
2012-03-19,143.7
2012-03-20,143.7
2012-03-21,143.7
2012-03-22,143.8
2012-03-23,143.9
2012-03-24,144.0
2012-03-25,144.0
2012-03-26,144.1
2012-03-27,144.3
2012-03-28,144.5
2012-03-29,144.6
2012-03-30,145.25
2012-03-31,145.25
2012-04-01,145.25
2012-04-02,145.9
2012-04-03,147.1
2012-04-04,147.3
2012-04-05,147.1
2012-04-06,147.1
2012-04-07,147.1
2012-04-08,147.1
2012-04-09,147.1
2012-04-10,149.4
2012-04-11,149.1
2012-04-12,148.9
2012-04-13,148.6
2012-04-14,148.35
2012-04-15,148.35
2012-04-16,148.1
2012-04-17,148.4
2012-04-18,148.2
2012-04-19,148.0
2012-04-20,148.3
2012-04-21,148.25
2012-04-22,148.25
2012-04-23,148.2
2012-04-24,148.2
2012-04-25,148.1
2012-04-26,147.9
2012-04-27,147.8
2012-04-28,147.7
2012-04-29,147.7
2012-04-30,147.6
2012-05-01,143.2
2012-05-02,142.5
2012-05-03,142.5
2012-05-04,142.7
2012-05-05,142.7
2012-05-06,142.7
2012-05-07,142.7
2012-05-08,141.4
2012-05-09,141.4
2012-05-10,140.8
2012-05-11,140.2
2012-05-12,139.64999999999998
2012-05-13,139.64999999999998
2012-05-14,139.1
2012-05-15,138.9
2012-05-16,138.6
2012-05-17,138.4
2012-05-18,137.9
2012-05-19,137.95
2012-05-20,137.95
2012-05-21,138.0
2012-05-22,137.8
2012-05-23,137.4
2012-05-24,137.2
2012-05-25,137.0
2012-05-26,136.7
2012-05-27,136.7
2012-05-28,136.7
2012-05-29,136.4
2012-05-30,136.4
2012-05-31,136.3
2012-06-01,132.0
2012-06-02,132.0
2012-06-03,132.0
2012-06-04,132.0
2012-06-05,132.0
2012-06-06,129.8
2012-06-07,131.8
2012-06-08,131.2
2012-06-09,131.55
2012-06-10,131.55
2012-06-11,131.9
2012-06-12,132.2
2012-06-13,133.3
2012-06-14,133.6
2012-06-15,133.7
2012-06-16,134.0
2012-06-17,134.0
2012-06-18,134.3
2012-06-19,134.4
2012-06-20,134.5
2012-06-21,134.5
2012-06-22,134.5
2012-06-23,134.55
2012-06-24,134.55
2012-06-25,134.6
2012-06-26,134.6
2012-06-27,134.6
2012-06-28,134.6
2012-06-29,134.6
2012-06-30,133.2
2012-07-01,133.2
2012-07-02,131.8
2012-07-03,134.0
2012-07-04,134.35
2012-07-05,134.7
2012-07-06,134.1
2012-07-07,134.2
2012-07-08,134.2
2012-07-09,134.3
2012-07-10,133.4
2012-07-11,133.5
2012-07-12,133.6
2012-07-13,133.3
2012-07-14,133.2
2012-07-15,133.2
2012-07-16,133.1
2012-07-17,132.8
2012-07-18,132.4
2012-07-19,132.0
2012-07-20,131.5
2012-07-21,131.25
2012-07-22,131.25
2012-07-23,131.0
2012-07-24,130.7
2012-07-25,130.6
2012-07-26,129.6
2012-07-27,129.1
2012-07-28,128.8
2012-07-29,128.8
2012-07-30,128.5
2012-07-31,127.9
2012-08-01,116.3
2012-08-02,114.4
2012-08-03,114.5
2012-08-04,115.25
2012-08-05,115.25
2012-08-06,116.0
2012-08-07,117.1
2012-08-08,115.8
2012-08-09,115.7
2012-08-10,114.8
2012-08-11,114.69999999999999
