,Price
2010-08-25,7089.5
2010-08-26,7298.0
2010-08-27,7453.25
2010-08-28,7442.75
2010-08-29,7442.75
2010-08-30,7442.75
2010-08-31,7432.25
2010-09-01,7598.25
2010-09-02,7625.75
2010-09-03,7635.5
2010-09-04,7665.5
2010-09-05,7665.5
2010-09-06,7695.5
2010-09-07,7615.0
2010-09-08,7659.75
2010-09-09,7540.25
2010-09-10,7471.25
2010-09-11,7544.5
2010-09-12,7544.5
2010-09-13,7617.75
2010-09-14,7657.5
2010-09-15,7657.5
2010-09-16,7697.25
2010-09-17,7718.75
2010-09-18,7715.125
2010-09-19,7715.125
2010-09-20,7711.5
2010-09-21,7676.0
2010-09-22,7844.0
2010-09-23,7887.5
2010-09-24,7949.5
2010-09-25,7930.25
2010-09-26,7930.25
2010-09-27,7911.0
2010-09-28,7951.0
2010-09-29,8063.5
2010-09-30,8010.0
2010-10-01,8093.0
2010-10-02,8073.25
2010-10-03,8073.25
2010-10-04,8053.5
2010-10-05,8164.25
2010-10-06,8246.25
2010-10-07,8089.5
2010-10-08,8306.0
2010-10-09,8295.5
2010-10-10,8295.5
2010-10-11,8285.0
2010-10-12,8342.25
2010-10-13,8354.25
2010-10-14,8388.0
2010-10-15,8381.5
2010-10-16,8403.75
2010-10-17,8403.75
2010-10-18,8426.0
2010-10-19,8362.25
2010-10-20,8362.25
2010-10-21,8298.5
2010-10-22,8326.0
2010-10-23,8420.25
2010-10-24,8420.25
2010-10-25,8514.5
2010-10-26,8508.75
2010-10-27,8296.0
2010-10-28,8334.0
2010-10-29,8191.25
2010-10-30,8241.125
2010-10-31,8241.125
2010-11-01,8291.0
2010-11-02,8427.0
2010-11-03,8312.0
2010-11-04,8596.0
2010-11-05,8653.0
2010-11-06,8658.0
2010-11-07,8658.0
2010-11-08,8663.0
2010-11-09,8862.5
2010-11-10,8766.5
2010-11-11,8835.75
2010-11-12,8628.0
2010-11-13,8649.0
2010-11-14,8649.0
2010-11-15,8670.0
2010-11-16,8559.5
2010-11-17,8559.5
2010-11-18,8449.0
2010-11-19,8431.0
2010-11-20,8374.25
2010-11-21,8374.25
2010-11-22,8317.5
2010-11-23,8170.0
2010-11-24,8286.0
2010-11-25,8388.0
2010-11-26,8287.0
2010-11-27,8276.5
2010-11-28,8276.5
2010-11-29,8266.0
2010-11-30,8416.0
2010-12-01,8647.0
2010-12-02,8774.0
2010-12-03,8768.0
2010-12-04,8792.25
2010-12-05,8792.25
2010-12-06,8816.5
2010-12-07,8911.0
2010-12-08,9048.0
2010-12-09,8987.5
2010-12-10,9033.0
2010-12-11,9164.0
2010-12-12,9164.0
2010-12-13,9295.0
2010-12-14,9158.25
2010-12-15,9158.25
2010-12-16,9021.5
2010-12-17,9104.0
2010-12-18,9169.5
2010-12-19,9169.5
2010-12-20,9235.0
2010-12-21,9401.0
2010-12-22,9393.0
2010-12-23,9341.0
2010-12-24,9388.0
2010-12-25,9415.0
2010-12-26,9415.0
2010-12-27,9415.0
2010-12-28,9415.0
2010-12-29,9442.0
2010-12-30,9535.5
2010-12-31,9644.0
2011-01-01,9631.625
2011-01-02,9631.625
2011-01-03,9631.625
2011-01-04,9619.25
2011-01-05,9586.0
2011-01-06,9492.5
2011-01-07,9436.0
2011-01-08,9384.5
2011-01-09,9384.5
2011-01-10,9333.0
2011-01-11,9524.5
2011-01-12,9697.75
2011-01-13,9622.5
2011-01-14,9662.0
2011-01-15,9655.0
2011-01-16,9655.0
2011-01-17,9648.0
2011-01-18,9510.0
2011-01-19,9510.0
2011-01-20,9372.0
2011-01-21,9462.5
2011-01-22,9505.5
2011-01-23,9505.5
2011-01-24,9548.5
2011-01-25,9265.0
2011-01-26,9343.0
2011-01-27,9455.5
2011-01-28,9548.5
2011-01-29,9659.5
2011-01-30,9659.5
2011-01-31,9770.5
2011-02-01,9973.0
2011-02-02,9966.5
2011-02-03,9947.5
2011-02-04,10067.0
2011-02-05,10061.5
2011-02-06,10061.5
2011-02-07,10056.0
2011-02-08,10073.0
2011-02-09,9934.5
2011-02-10,9950.0
2011-02-11,9975.5
2011-02-12,10077.5
2011-02-13,10077.5
2011-02-14,10179.5
2011-02-15,9993.0
2011-02-16,9993.0
2011-02-17,9806.5
2011-02-18,9860.0
2011-02-19,9834.0
2011-02-20,9834.0
2011-02-21,9808.0
2011-02-22,9574.0
2011-02-23,9417.75
2011-02-24,9497.0
2011-02-25,9761.0
2011-02-26,9821.75
2011-02-27,9821.75
2011-02-28,9882.5
2011-03-01,9851.0
2011-03-02,9879.0
2011-03-03,9902.5
2011-03-04,9882.5
2011-03-05,9683.25
2011-03-06,9683.25
2011-03-07,9484.0
2011-03-08,9511.0
2011-03-09,9254.0
2011-03-10,9171.0
2011-03-11,9171.0
2011-03-12,9171.875
2011-03-13,9171.875
2011-03-14,9172.75
2011-03-15,9370.125
2011-03-16,9370.125
2011-03-17,9567.5
2011-03-18,9513.5
2011-03-19,9453.25
2011-03-20,9453.25
2011-03-21,9393.0
2011-03-22,9486.0
2011-03-23,9722.5
2011-03-24,9709.0
2011-03-25,9677.0
2011-03-26,9601.25
2011-03-27,9601.25
2011-03-28,9525.5
2011-03-29,9576.0
2011-03-30,9371.0
