,Price,P^0.5,P^2,P^3,P^4
2017-05-25,0.1261380566131435,0.35515919897018505,0.015910809326140595,0.0020069585675416544,0.00025315385341280255
2017-05-26,0.12531037907631187,0.35399206075322065,0.01570269110424898,0.00196771017479167,0.00024657450791546007
2017-05-27,0.12442752303702478,0.35274285681927675,0.015482208489129333,0.0019264128534451609,0.0002396987797008684
2017-05-28,0.12442752303702478,0.35274285681927675,0.015482208489129333,0.0019264128534451609,0.0002396987797008684
2017-05-29,0.12442752303702478,0.35274285681927675,0.015482208489129333,0.0019264128534451609,0.0002396987797008684
2017-05-30,0.12354466699773767,0.3514892132025358,0.01526328474358189,0.0018856974309374745,0.00023296786116365972
2017-05-31,0.12233073994371793,0.3497581163371594,0.014964809935177546,0.0018306562724873707,0.00022394553639598858
2017-06-01,0.09297577663742206,0.3049192952855264,0.008644495041331798,0.0008037286401061677,7.472729451961003e-05
2017-06-02,0.09783148485350109,0.3127802501014108,0.009570999428640812,0.0009363450856359411,9.160403006304275e-05
2017-06-03,0.09567952325773879,0.30932106824097644,0.009154571170828178,0.0008759050052538798,8.38061733217584e-05
2017-06-04,0.09567952325773879,0.30932106824097644,0.009154571170828178,0.0008759050052538798,8.38061733217584e-05
2017-06-05,0.0935275616619765,0.30582276184413826,0.008747404790434815,0.0008181234409196608,7.651709056772197e-05
2017-06-06,0.09452077470617448,0.3074423111840244,0.008934176851055393,0.0008444653173237262,7.981951600593407e-05
2017-06-07,0.09154113557358054,0.3025576566104063,0.008379779502100653,0.0007670945314785071,7.022070450382626e-05
2017-06-08,0.09027203001710532,0.3004530412844998,0.008149039403409164,0.0007356303296351261,6.640684319831518e-05
2017-06-09,0.0881752469237985,0.29694317120250213,0.007774874170072836,0.0006855514497476352,6.044866836046577e-05
2017-06-10,0.08886497820449155,0.29810229486619444,0.007896984351284757,0.0007017653422581308,6.236236184443634e-05
2017-06-11,0.08886497820449155,0.29810229486619444,0.007896984351284757,0.0007017653422581308,6.236236184443634e-05
2017-06-12,0.08955470948518458,0.299256928884169,0.00802004599097581,0.0007182328887796579,6.432113769736715e-05
2017-06-13,0.08536114329857086,0.2921662939125095,0.00728652478523915,0.0006219860863413873,5.309344344590443e-05
2017-06-14,0.0880648899188876,0.2967572912649116,0.007755424836425791,0.0006829806344940441,6.014661439345e-05
2017-06-15,0.08812006842134303,0.2968502457828577,0.007765146458582176,0.0006842652372320108,6.0297499523231314e-05
2017-06-16,0.08916845996799648,0.29861088387397483,0.00795101425306419,0.0007089796961293238,6.321862765242991e-05
2017-06-17,0.08944435248027369,0.29907248699984706,0.008000292190615441,0.0007155809546425885,6.400467513522242e-05
2017-06-18,0.08944435248027369,0.29907248699984706,0.008000292190615441,0.0007155809546425885,6.400467513522242e-05
2017-06-19,0.08972024499255088,0.2995333787619518,0.008049722361523352,0.0007222230623978903,6.479803009760908e-05
2017-06-20,0.08922363847045191,0.29870326156647825,0.007960857661905905,0.0007102966859406195,6.337525471312597e-05
2017-06-21,0.08889256745571925,0.29814856608026685,0.007901888548869597,0.0007024191608579661,6.243984263875645e-05
2017-06-22,0.08894774595817467,0.2982410869718904,0.00791170151103998,0.0007037280161008907,6.259502079979229e-05
2017-06-23,0.08933399547536278,0.29888793129760655,0.007980562747592138,0.0007129355563842447,6.368938176825536e-05
2017-06-24,0.0893891739778182,0.2989802233891369,0.007990424424436652,0.0007142574390325757,6.384688248263379e-05
2017-06-25,0.0893891739778182,0.2989802233891369,0.007990424424436652,0.0007142574390325757,6.384688248263379e-05
2017-06-26,0.08944435248027369,0.29907248699984706,0.008000292190615441,0.0007155809546425885,6.400467513522242e-05
2017-06-27,0.09220327760304585,0.303649926071201,0.008501444400744336,0.0007838610381086898,7.227455689894722e-05
2017-06-28,0.09468631021354082,0.3077114073503627,0.008965497341854884,0.0008489098625295473,8.0380142586807e-05
2017-06-29,0.09518291673563979,0.30851728757986935,0.009059787638303738,0.0008623370124192433,8.207975205116121e-05
2017-06-30,0.09639684378965953,0.3104784111490838,0.009292351492608021,0.0008957533552715449,8.634779626217451e-05
2017-07-01,0.12119958064338131,0.3481373014248564,0.014689338348131489,0.001780341647722276,0.00021577666110588633
2017-07-02,0.12119958064338131,0.3481373014248564,0.014689338348131489,0.001780341647722276,0.00021577666110588633
2017-07-03,0.14600231749710313,0.3821024960623826,0.021316676714524908,0.0031122842016571704,0.00045440070615156836
2017-07-04,0.14056723500524196,0.3749229720959253,0.019759147557018922,0.002777488738150731,0.00039042391218004676
2017-07-05,0.1351321525133808,0.36760325422033574,0.018260698642899604,0.002467607514013195,0.0003334531149267955
2017-07-06,0.13005573028748,0.36063240326886875,0.01691449298060974,0.002199826737035654,0.0002861000727910962
2017-07-07,0.13413893946918282,0.3662498320398015,0.01799325508191709,0.002413596154286843,0.00032375722844293523
2017-07-08,0.1348562600011036,0.36722780395975413,0.018186210861485252,0.0024525243803713496,0.0003307382654984042
2017-07-09,0.1348562600011036,0.36722780395975413,0.018186210861485252,0.0024525243803713496,0.0003307382654984042
2017-07-10,0.13557358053302432,0.3682031783309649,0.01838019573854443,0.0024918689471723036,0.00033783159538720685
2017-07-11,0.1431330353694201,0.3783292684546361,0.020487065814063666,0.002932375915780012,0.0004197198656697761
2017-07-12,0.1409810737736578,0.3754744648756527,0.01987566316237354,0.0028020923345949567,0.00039504198614413255
2017-07-13,0.14136732329084586,0.37598846164589395,0.019984720094418533,0.002825186386464728,0.00039938903725225585
2017-07-14,0.14556088947745957,0.38152442841508794,0.0211879725454692,0.00308414012994249,0.00044893018058755657
2017-07-15,0.14851293935882579,0.3853737657895589,0.022056093156998264,0.0032756152255178955,0.0004864712453501857
2017-07-16,0.14851293935882579,0.3853737657895589,0.022056093156998264,0.0032756152255178955,0.0004864712453501857
2017-07-17,0.15146498924019197,0.3891850321379176,0.02294164296553147,0.00347485570492655,0.0005263189819579196
2017-07-18,0.1500855266788059,0.38740873335381315,0.022525665318454558,0.003380776343110764,0.0005074055980390264
2017-07-19,0.15146498924019197,0.3891850321379176,0.02294164296553147,0.00347485570492655,0.0005263189819579196
2017-07-20,0.14870606411741982,0.3856242525016027,0.022113493505294176,0.0032884105830584226,0.0004890065950086877
2017-07-21,0.14705070904375653,0.383471914282854,0.021623911030271538,0.0031798114493005376,0.00046759352824509906
2017-07-22,0.14760249406831094,0.38419070013251355,0.021786496255185767,0.0032157411842753357,0.0004746514190772234
2017-07-23,0.14760249406831094,0.38419070013251355,0.021786496255185767,0.0032157411842753357,0.0004746514190772234
2017-07-24,0.1481542790928654,0.384908143708165,0.021949690413526658,0.0032519405595276205,0.00048178890924966403
2017-07-25,0.1492578491419743,0.3863390339351879,0.022277905530488355,0.003325152262868786,0.0004963050748253636
2017-07-26,0.1489819566296971,0.3859818086771669,0.022195623401212946,0.0033067474029285972,0.0004926456981684718
2017-07-27,0.1500855266788059,0.38740873335381315,0.022525665318454558,0.003380776343110764,0.0005074055980390264
2017-07-28,0.1508028472107267,0.38833342273196975,0.02274149872686178,0.0034294827578498733,0.000517175764343856
2017-07-29,0.15176847100369695,0.38957473096146383,0.023033668790800002,0.0034957846939852894,0.000530549897964274
2017-07-30,0.15176847100369695,0.38957473096146383,0.023033668790800002,0.0034957846939852894,0.000530549897964274
2017-07-31,0.1527340947966672,0.3908120965331897,0.02332770371335732,0.003562935710344482,0.0005441817605381849
2017-08-01,0.18225459361032936,0.4269128641893207,0.033216736892066306,0.0060539028833247795,0.001103351609756759
2017-08-02,0.18495834023064614,0.43006783212726585,0.034209587620875455,0.006327348546331983,0.001170295885190355
2017-08-03,0.1866688738067649,0.43205193415463944,0.034845268448285914,0.00650452701873593,0.0012141927332331099
2017-08-04,0.1927936875793191,0.43908277987108435,0.037169405970432105,0.0071660268421723655,0.0013815647401947938
2017-08-05,0.19602162997296252,0.4427433003140336,0.03842447941725704,0.007532029086233273,0.0014764406184872097
2017-08-06,0.19602162997296252,0.4427433003140336,0.03842447941725704,0.007532029086233273,0.0014764406184872097
2017-08-07,0.19924957236660598,0.44637380340540367,0.03970039208827535,0.007910286146375452,0.0015761211319627964
2017-08-08,0.2032224245433979,0.45080197930288407,0.04129935383729705,0.00839295481889119,0.0017056366273782626
2017-08-09,0.2000772499034376,0.4472999551793378,0.04003090592892262,0.008009273569402052,0.0016024734294902518
2017-08-10,0.20051867792308112,0.4477931195575487,0.04020774019602034,0.008062402906380725,0.0016166623716706698
2017-08-11,0.19433868564807152,0.44083861633036586,0.03776752473941996,0.0073396911180399005,0.0014263859249426989
2017-08-12,0.19348341886001214,0.43986750148199416,0.0374358333737589,0.007243213029028615,0.0014014416203878407
2017-08-13,0.19348341886001214,0.43986750148199416,0.0374358333737589,0.007243213029028615,0.0014014416203878407
2017-08-14,0.19262815207195277,0.4388942379115415,0.03710560497065536,0.007147584117009208,0.001376825920238324
2017-08-15,0.19207636704739828,0.43826517891271977,0.036893330778126864,0.007086336944140572,0.0013611178559042832
2017-08-16,0.19213154554985376,0.4383281254378434,0.03691453079537553,0.007092445854963173,0.0013626825838427283
2017-08-17,0.19643546874137835,0.4432104113639236,0.03858689337964503,0.007579834488304161,0.0014889483406920936
2017-08-18,0.1978701098052199,0.44482593202872056,0.03915258035432978,0.00774712537386893,0.0015329245484022504
2017-08-19,0.1978425205539922,0.44479491965847834,0.03914166293915683,0.00774388525455757,0.0015320697776425632
2017-08-20,0.1978425205539922,0.44479491965847834,0.03914166293915683,0.00774388525455757,0.0015320697776425632
2017-08-21,0.19781493130276442,0.4447639051258144,0.03913074704631741,0.00774064603879313,0.0015312153644028786
2017-08-22,0.2005738564255366,0.4478547269210593,0.04022987188141177,0.008069060546760017,0.0016184425915948054
2017-08-23,0.20018760690834844,0.4474232972346751,0.04007507795969144,0.008022533953416127,0.0016060118734753464
2017-08-24,0.20112564145009101,0.44847033508370543,0.04045152364871057,0.00813583864148044,0.0016363257655021904
2017-08-25,0.20101528444518013,0.44834728107258565,0.040407144580576676,0.00812245366148214,0.0016327373331556272
2017-08-26,0.20118081995254647,0.4485318494293872,0.04047372231677892,0.008142536642221261,0.0016381221981757279
2017-08-27,0.20118081995254647,0.4485318494293872,0.04047372231677892,0.008142536642221261,0.0016381221981757279
2017-08-28,0.2013463554599128,0.44871634186857157,0.040540354856989556,0.008162652699506423,0.001643520371930637
2017-08-29,0.20145671246482366,0.4488392946978057,0.04058480699713464,0.008176081793662117,0.0016471265589946685
2017-08-30,0.20162224797219,0.449023660815541,0.040651530877359274,0.00819625303900407,0.0016525469626728945
2017-08-31,0.20178778347955634,0.44920795126484164,0.04071830956159231,0.008216457433468138,0.0016579807335536597
2017-09-01,0.21646526513270425,0.46525827787660506,0.04685721100897195,0.010142958604436182,0.002195598223539322
2017-09-02,0.21621696187165476,0.4649913567709133,0.04674977460100861,0.010108094232414733,0.0021855414252451096
2017-09-03,0.21621696187165476,0.4649913567709133,0.04674977460100861,0.010108094232414733,0.0021855414252451096
2017-09-04,0.21621696187165476,0.4649913567709133,0.04674977460100861,0.010108094232414733,0.0021855414252451096
2017-09-05,0.21596865861060532,0.4647242823552534,0.04664246150206419,0.010073309844897602,0.00217551921497154
2017-09-06,0.20818848976438775,0.4562767688195266,0.04334244727037658,0.00902339863991231,0.0018785677353853746
2017-09-07,0.20316724604094244,0.4507407747707572,0.04127692986386084,0.00838612016546574,0.0017037849389860869
2017-09-08,0.19958064338133857,0.4467444945170993,0.039832433212509046,0.007949782647996754,0.0015866227356289937
2017-09-09,0.1997737681399327,0.4469605890231629,0.039909558436827586,0.007972882873725889,0.001592772854622556
2017-09-10,0.1997737681399327,0.4469605890231629,0.039909558436827586,0.007972882873725889,0.001592772854622556
2017-09-11,0.19996689289852673,0.44717657910329645,0.03998675825549086,0.00799602780543502,0.0015989408357830665
2017-09-12,0.20239474700656623,0.4498830370291441,0.04096363361585195,0.008290824262150028,0.001678019279013756
2017-09-13,0.2008497489378138,0.44816263670437073,0.040340621648382834,0.008102403730073027,0.0016273657549779738
2017-09-14,0.19400761463333885,0.44046295489330184,0.03763895453571811,0.007302243786767361,0.0014166908985418553
2017-09-15,0.19290404458422997,0.4392084295459617,0.037211970416954586,0.007178339600379253,0.001384730742312303
2017-09-16,0.1938420791259725,0.4402750039758929,0.037574751639879785,0.007283567980516343,0.001411861960798649
2017-09-17,0.1938420791259725,0.4402750039758929,0.037574751639879785,0.007283567980516343,0.001411861960798649
2017-09-18,0.19478011366771505,0.4413390008459654,0.037939292680408,0.0073898197407625795,0.00143938992908966
2017-09-19,0.18352369916680458,0.4283966610126701,0.033680948155867786,0.006181252197010221,0.0011344062686782538
2017-09-20,0.18440655520609167,0.42942584366348013,0.034005777602977336,0.0062708883048695156,0.001156392910383155
2017-09-21,0.18495834023064614,0.43006783212726585,0.034209587620875455,0.006327348546331983,0.001170295885190355
2017-09-22,0.1821442366054185,0.4267835945832718,0.03317652292857068,0.00604291244204667,0.001100681673629976
2017-09-23,0.17924736522650778,0.423376150989292,0.03212961794064507,0.005759149361594963,0.0010323123490118215
2017-09-24,0.17924736522650778,0.423376150989292,0.03212961794064507,0.005759149361594963,0.0010323123490118215
2017-09-25,0.17635049384759696,0.4199410599686544,0.031099496680291334,0.005484411597981079,0.0009671786937674517
2017-09-26,0.17877834795563646,0.4228218867982551,0.03196169769774662,0.005714059512260611,0.001021550119722142
2017-09-27,0.17668156486232964,0.42033506261354125,0.031216375362201596,0.0055153580483236495,0.0009744620907538667
2017-09-28,0.17359156872482479,0.41664321514315433,0.030134032732345568,0.005231014014013085,0.000908059928714074
2017-09-29,0.17232246316834957,0.415117408895784,0.029695031312407194,0.0051171209396152755,0.0008817948846448437
2017-09-30,0.15207195276720187,0.38996404035141735,0.023125878818430076,0.0035167975513763325,0.0005348062711247128
2017-10-01,0.15207195276720187,0.38996404035141735,0.023125878818430076,0.0035167975513763325,0.0005348062711247128
