"Date","Price","Open","High","Low","Vol.","Change %"
"06/30/2022","20.352","20.725","20.785","20.145","61.10K","-1.86%"
"06/29/2022","20.738","20.840","21.065","20.610","53.00K","-0.33%"
"06/28/2022","20.806","21.170","21.355","20.720","42.01K","-1.71%"
"06/27/2022","21.168","21.200","21.535","21.080","48.09K","0.20%"
"06/24/2022","21.125","20.920","21.205","20.545","72.54K","0.39%"
"06/23/2022","21.042","21.420","21.495","20.890","71.94K","-1.77%"
"06/22/2022","21.421","21.670","21.675","21.205","55.92K","-1.59%"
"06/20/2022","21.768","21.520","21.950","21.430","64.99K","0.84%"
"06/17/2022","21.587","21.955","21.965","21.560","43.90K","-1.36%"
"06/16/2022","21.885","21.680","21.970","21.320","52.32K","2.17%"
"06/15/2022","21.420","21.010","21.845","20.970","70.54K","2.22%"
"06/14/2022","20.954","21.070","21.360","20.845","59.21K","-1.42%"
"06/13/2022","21.255","22.010","22.040","20.910","88.96K","-3.08%"
"06/10/2022","21.931","21.715","22.020","21.235","78.78K","0.52%"
"06/09/2022","21.817","22.085","22.165","21.535","63.62K","-1.25%"
"06/08/2022","22.094","22.275","22.275","21.795","44.94K","-0.38%"
"06/07/2022","22.178","22.085","22.300","21.840","51.45K","0.39%"
"06/06/2022","22.092","21.945","22.565","21.900","48.16K","0.84%"
"06/03/2022","21.908","22.355","22.525","21.860","37.47K","-1.65%"
"06/02/2022","22.275","21.860","22.380","21.785","35.94K","1.64%"
"06/01/2022","21.915","21.535","21.995","21.410","51.15K","1.05%"
"05/30/2022","21.688","22.150","22.310","21.455","67.95K","-1.85%"
"05/27/2022","22.096","22.035","22.475","21.940","38.41K","0.60%"
"05/26/2022","21.965","21.975","22.075","21.730","29.70K","0.43%"
"05/25/2022","21.870","22.115","22.145","21.725","32.08K","-0.87%"
"05/24/2022","22.063","21.770","22.215","21.645","36.83K","1.57%"
"05/23/2022","21.723","21.780","22.205","21.660","41.17K","0.23%"
"05/20/2022","21.674","21.965","22.080","21.580","34.79K","-1.07%"
"05/19/2022","21.908","21.430","22.010","21.250","41.28K","1.69%"
"05/18/2022","21.544","21.665","21.750","21.365","33.87K","-0.95%"
"05/17/2022","21.750","21.650","21.925","21.520","39.23K","0.92%"
"05/16/2022","21.551","21.105","21.710","20.835","46.63K","2.62%"
"05/13/2022","21.001","20.635","21.125","20.420","58.68K","1.10%"
"05/12/2022","20.773","21.555","21.625","20.590","82.00K","-3.72%"
"05/11/2022","21.575","21.210","21.970","21.200","80.77K","0.70%"
"05/10/2022","21.424","21.770","22.085","21.155","78.50K","-1.81%"
"05/09/2022","21.820","22.395","22.395","21.650","80.20K","-2.45%"
"05/06/2022","22.367","22.520","22.665","22.110","59.54K","-0.34%"
"05/05/2022","22.443","23.040","23.345","22.325","71.88K","0.18%"
"05/04/2022","22.402","22.600","23.125","22.220","58.06K","-1.16%"
"05/03/2022","22.665","22.700","22.890","22.440","43.73K","0.36%"
"05/02/2022","22.584","22.785","22.880","22.130","56.21K","-2.17%"
"04/29/2022","23.085","23.230","23.650","22.710","55.33K","-0.41%"
"04/28/2022","23.181","23.365","23.455","22.940","57.59K","-1.19%"
"04/27/2022","23.460","23.590","23.765","23.275","37.58K","-0.36%"
"04/26/2022","23.544","23.705","23.975","23.445","45.15K","-0.53%"
"04/25/2022","23.670","24.215","24.240","23.420","63.92K","-2.43%"
"04/22/2022","24.259","24.720","24.740","24.080","65.63K","-1.47%"
"04/21/2022","24.621","25.305","25.310","24.480","69.61K","-2.57%"
"04/20/2022","25.271","25.315","25.400","24.980","44.95K","-0.47%"
"04/19/2022","25.391","26.055","26.195","25.165","65.30K","-2.90%"
"04/18/2022","26.150","25.875","26.495","25.805","52.50K","1.75%"
"04/14/2022","25.700","25.955","26.115","25.460","51.61K","-1.27%"
"04/13/2022","26.030","25.585","26.070","25.530","62.66K","1.15%"
"04/12/2022","25.735","25.255","25.840","25.025","74.87K","2.99%"
"04/11/2022","24.987","24.925","25.600","24.795","76.96K","0.66%"
"04/08/2022","24.823","24.725","24.935","24.495","50.94K","0.36%"
"04/07/2022","24.735","24.570","24.780","24.335","48.61K","1.13%"
"04/06/2022","24.458","24.465","24.680","24.200","47.18K","-0.31%"
"04/05/2022","24.534","24.665","25.110","24.355","49.22K","-0.23%"
"04/04/2022","24.590","24.735","25.005","24.385","41.51K","-0.26%"
"04/01/2022","24.654","24.990","25.040","24.565","44.25K","-1.91%"
"03/31/2022","25.133","25.035","25.285","24.670","36.61K","0.08%"
"03/30/2022","25.113","24.920","25.265","24.855","38.79K","1.52%"
"03/29/2022","24.736","25.010","25.135","24.045","76.19K","-1.83%"
"03/28/2022","25.196","25.725","25.795","24.940","46.26K","-1.64%"
"03/25/2022","25.615","25.850","26.035","25.470","37.91K","-1.18%"
"03/24/2022","25.920","25.285","26.160","25.170","61.00K","2.90%"
"03/23/2022","25.189","24.915","25.370","24.780","34.15K","1.14%"
"03/22/2022","24.904","25.410","25.590","24.695","45.76K","-1.62%"
"03/21/2022","25.313","25.150","25.520","25.050","34.84K","0.90%"
"03/18/2022","25.087","25.595","25.640","24.980","38.06K","-2.07%"
"03/17/2022","25.616","25.240","25.750","25.165","40.14K","3.67%"
"03/16/2022","24.710","25.115","25.250","24.550","46.30K","-1.78%"
"03/15/2022","25.158","25.260","25.315","24.750","47.79K","-0.55%"
"03/14/2022","25.298","26.280","26.290","25.160","52.36K","-3.30%"
"03/11/2022","26.160","26.255","26.350","25.695","51.55K","-0.37%"
"03/10/2022","26.256","26.060","26.425","25.600","55.85K","1.70%"
"03/09/2022","25.816","26.925","27.390","25.730","87.11K","-4.01%"
"03/08/2022","26.895","25.805","27.495","25.550","127.21K","4.57%"
"03/07/2022","25.720","26.025","26.370","25.465","81.50K","-0.27%"
"03/04/2022","25.789","25.285","25.920","25.155","70.86K","2.29%"
"03/03/2022","25.212","25.450","25.665","25.075","57.47K","0.09%"
"03/02/2022","25.190","25.505","25.545","24.960","69.47K","-1.37%"
"03/01/2022","25.541","24.455","25.650","24.345","68.56K","4.82%"
"02/28/2022","24.366","24.620","24.880","24.155","55.28K","1.45%"
"02/25/2022","24.017","24.330","24.550","23.920","67.32K","-2.71%"
"02/24/2022","24.687","24.610","25.670","23.860","107.56K","0.55%"
"02/23/2022","24.553","24.145","24.620","24.050","62.69K","1.00%"
"02/21/2022","24.311","24.060","24.385","23.710","96.22K","1.33%"
"02/18/2022","23.992","23.855","24.115","23.700","52.87K","0.49%"
"02/17/2022","23.875","23.645","23.930","23.440","60.05K","1.14%"
"02/16/2022","23.605","23.380","23.670","23.290","47.87K","1.13%"
"02/15/2022","23.342","23.885","24.015","23.070","61.87K","-2.12%"
"02/14/2022","23.848","23.600","23.965","23.555","57.09K","2.05%"
"02/11/2022","23.369","23.205","23.710","22.855","77.04K","-0.65%"
"02/10/2022","23.522","23.310","23.735","23.145","77.91K","0.78%"
"02/09/2022","23.341","23.195","23.365","23.095","52.98K","0.61%"
"02/08/2022","23.200","23.025","23.265","22.770","52.51K","0.54%"
"02/07/2022","23.076","22.535","23.110","22.500","58.94K","2.67%"
"02/04/2022","22.475","22.420","22.690","22.100","47.76K","0.45%"
"02/03/2022","22.375","22.650","22.660","21.985","55.03K","-1.46%"
"02/02/2022","22.707","22.640","22.875","22.465","38.34K","0.50%"
"02/01/2022","22.595","22.490","23.060","22.405","48.40K","0.90%"
"01/31/2022","22.393","22.475","22.655","22.250","38.42K","0.41%"
"01/28/2022","22.301","22.790","22.830","22.150","63.81K","-1.65%"
"01/27/2022","22.676","23.565","23.625","22.585","82.12K","-4.75%"
"01/26/2022","23.807","23.850","24.025","23.460","55.62K","-0.37%"
"01/25/2022","23.896","24.045","24.045","23.635","53.18K","0.40%"
"01/24/2022","23.800","24.305","24.360","23.595","72.35K","-2.14%"
"01/21/2022","24.320","24.525","24.640","24.205","62.05K","-1.60%"
"01/20/2022","24.716","24.185","24.755","24.125","75.61K","2.00%"
"01/19/2022","24.231","23.505","24.265","23.430","73.90K","3.15%"
"01/17/2022","23.492","22.995","23.680","22.820","105.83K","2.50%"
"01/14/2022","22.918","23.115","23.345","22.845","50.67K","-1.05%"
"01/13/2022","23.162","23.190","23.315","23.025","53.38K","-0.19%"
"01/12/2022","23.207","22.820","23.260","22.680","55.76K","1.73%"
"01/11/2022","22.812","22.500","22.860","22.480","48.87K","1.56%"
"01/10/2022","22.462","22.385","22.540","22.205","44.53K","0.24%"
"01/07/2022","22.409","22.195","22.460","21.945","57.76K","0.99%"
"01/06/2022","22.190","22.810","22.850","22.000","73.89K","-4.23%"
"01/05/2022","23.170","23.095","23.300","22.750","41.19K","0.49%"
"01/04/2022","23.056","22.920","23.140","22.655","44.91K","1.08%"
"01/03/2022","22.810","23.385","23.440","22.690","46.32K","-2.32%"
"12/31/2021","23.352","23.095","23.390","23.070","30.39K","1.27%"
"12/30/2021","23.060","22.870","23.155","22.630","30.54K","0.88%"
"12/29/2021","22.858","23.050","23.185","22.600","40.03K","-1.14%"
"12/28/2021","23.121","23.105","23.480","23.005","42.75K","0.57%"
"12/27/2021","22.989","22.900","23.150","22.655","39.29K","0.21%"
"12/23/2021","22.940","22.815","22.965","22.680","33.91K","0.53%"
"12/22/2021","22.819","22.525","22.860","22.440","35.70K","1.29%"
"12/21/2021","22.529","22.290","22.805","22.185","45.67K","1.07%"
"12/20/2021","22.291","22.390","22.435","22.190","35.06K","-1.07%"
"12/17/2021","22.533","22.530","22.690","22.355","39.31K","0.21%"
"12/16/2021","22.485","22.070","22.560","21.930","56.37K","4.36%"
"12/15/2021","21.545","21.945","22.130","21.410","65.04K","-1.73%"
"12/14/2021","21.924","22.350","22.355","21.670","52.45K","-1.81%"
"12/13/2021","22.328","22.195","22.430","22.160","31.88K","0.60%"
"12/10/2021","22.195","21.975","22.240","21.815","43.90K","0.83%"
"12/09/2021","22.013","22.435","22.475","21.840","58.89K","-1.87%"
"12/08/2021","22.432","22.525","22.580","22.305","28.91K","-0.40%"
"12/07/2021","22.523","22.395","22.625","22.230","38.83K","1.17%"
"12/06/2021","22.263","22.610","22.635","22.125","41.15K","-0.97%"
"12/03/2021","22.481","22.410","22.590","22.035","54.13K","0.74%"
"12/02/2021","22.316","22.335","22.505","22.215","45.19K","-0.10%"
"12/01/2021","22.339","22.875","23.060","22.185","65.42K","-2.09%"
"11/30/2021","22.815","22.930","23.355","22.705","68.03K","-0.16%"
"11/29/2021","22.852","23.160","23.460","22.775","66.86K","-1.22%"
"11/25/2021","23.135","23.610","23.770","22.935","55.88K","-1.54%"
"11/24/2021","23.496","23.640","23.695","23.400","54.62K","0.26%"
"11/23/2021","23.435","24.210","24.340","23.280","93.87K","-3.55%"
"11/22/2021","24.297","24.670","24.955","24.140","78.54K","-1.95%"
"11/19/2021","24.781","24.850","25.040","24.610","67.98K","-0.48%"
"11/18/2021","24.900","25.150","25.230","24.730","63.62K","-1.06%"
"11/17/2021","25.167","24.860","25.285","24.850","54.35K","0.89%"
"11/16/2021","24.944","25.135","25.490","24.825","77.00K","-0.64%"
"11/15/2021","25.105","25.425","25.465","24.970","68.48K","-0.95%"
"11/12/2021","25.346","25.350","25.470","24.925","66.39K","0.18%"
"11/11/2021","25.301","24.710","25.365","24.645","82.02K","2.14%"
"11/10/2021","24.772","24.375","25.220","24.040","131.56K","1.87%"
"11/09/2021","24.318","24.550","24.565","24.090","65.11K","-0.91%"
"11/08/2021","24.542","24.285","24.590","24.130","67.62K","1.59%"
"11/05/2021","24.157","23.870","24.255","23.665","73.24K","1.03%"
"11/04/2021","23.911","23.530","24.115","23.485","68.46K","2.93%"
"11/03/2021","23.231","23.570","23.665","23.045","67.16K","-1.17%"
"11/02/2021","23.507","24.130","24.140","23.430","63.00K","-2.35%"
"11/01/2021","24.073","23.985","24.175","23.810","37.06K","0.52%"
"10/29/2021","23.949","24.135","24.140","23.705","57.80K","-0.71%"
"10/28/2021","24.120","24.130","24.310","24.020","45.96K","-0.29%"
"10/27/2021","24.191","24.220","24.330","23.905","48.09K","0.43%"
"10/26/2021","24.088","24.650","24.655","23.925","61.76K","-2.05%"
"10/25/2021","24.592","24.395","24.695","24.365","44.83K","0.58%"
"10/22/2021","24.449","24.220","24.920","24.185","83.28K","1.15%"
"10/21/2021","24.170","24.370","24.550","24.070","58.68K","-1.12%"
"10/20/2021","24.445","23.710","24.495","23.615","73.13K","2.35%"
"10/19/2021","23.883","23.250","24.180","23.220","79.07K","2.66%"
"10/18/2021","23.264","23.380","23.495","23.035","47.03K","-0.36%"
"10/15/2021","23.349","23.565","23.645","23.100","52.25K","-0.55%"
"10/14/2021","23.477","23.100","23.625","22.925","54.28K","1.32%"
"10/13/2021","23.170","22.570","23.285","22.480","71.90K","2.91%"
"10/12/2021","22.514","22.610","22.790","22.325","42.93K","-0.67%"
"10/11/2021","22.665","22.685","22.830","22.495","29.93K","-0.18%"
"10/08/2021","22.705","22.610","23.220","22.435","69.58K","0.21%"
"10/07/2021","22.658","22.640","22.840","22.385","41.56K","0.56%"
"10/06/2021","22.532","22.635","22.700","22.185","38.89K","-0.34%"
"10/05/2021","22.608","22.725","22.730","22.380","27.04K","-0.16%"
"10/04/2021","22.644","22.600","22.805","22.290","35.18K","0.48%"
"10/01/2021","22.536","22.185","22.600","21.990","43.51K","2.22%"
"09/30/2021","22.047","21.515","22.225","21.460","66.12K","2.62%"
"09/29/2021","21.485","22.475","22.565","21.410","80.16K","-4.37%"
"09/28/2021","22.467","22.625","22.680","22.080","55.49K","-1.00%"
"09/27/2021","22.694","22.395","22.865","22.390","36.11K","1.20%"
"09/24/2021","22.425","22.530","22.790","22.090","41.67K","-1.12%"
"09/23/2021","22.679","22.695","22.880","22.465","43.74K","-1.00%"
"09/22/2021","22.907","22.485","23.150","22.455","51.99K","1.31%"
"09/21/2021","22.611","22.265","22.720","22.210","41.11K","1.83%"
